
 num     #instances         #bytes  class name
 322:             8            128  com.gemstone.gemfire.internal.concurrent.RWL5$InnerLock5
 323:             8            128  java.util.Collections$UnmodifiableRandomAccessList
 324:             4            128  java.io.FilePermission
 325:             8            128  java.nio.channels.spi.AbstractInterruptibleChannel$1
 326:             4            128  java.security.CodeSource
 327:             5            120  java.security.Permissions
 328:             3            120  com.gemstone.gemfire.internal.tcp.ConnectionTable$IdleConnTT
 329:             1            120  com.gemstone.org.jgroups.protocols.TCPGOSSIP
 330:             1            120  sun.nio.ch.WindowsSelectorImpl
 331:             5            120  com.gemstone.gemfire.internal.util.concurrent.CopyOnWriteHashMap
 332:             1            120  com.gemstone.org.jgroups.protocols.FD_SOCK$ClientConnectionHandler
 333:             1            120  com.gemstone.gemfire.internal.cache.ha.HARegionQueue$QueueRemovalThread
 334:             5            120  java.lang.OutOfMemoryError
 335:             1            120  com.gemstone.gemfire.internal.cache.tier.sockets.ClientHealthMonitor$ClientHealthMonitorThread
 336:             5            120  com.gemstone.java.util.concurrent.SynchronousQueueNoSpin
 337:             5            120  java.util.regex.Pattern$6
 338:             5            120  sun.nio.ch.Util$BufferCache
 339:            15            120  java.lang.ref.ReferenceQueue$Lock
 340:             7            112  sun.nio.ch.SocketOptsImpl$IP$TCP
 341:             1            112  java.lang.ref.Finalizer$FinalizerThread
 342:             7            112  java.util.regex.Pattern$BranchConn
 343:             7            112  com.gemstone.gemfire.cache.DataPolicy
 344:             2            112  java.io.ExpiringCache$1
 345:             7            112  java.util.Timer$1
 346:             1            112  com.gemstone.org.jgroups.protocols.VIEW_SYNC
 347:             1            112  com.gemstone.gemfire.internal.sequencelog.SequenceLoggerImpl$ConsumerThread
 348:             7            112  java.util.TaskQueue
 349:             7            112  [Ljava.net.NetworkInterface;
 350:             7            112  com.gemstone.gemfire.distributed.internal.membership.jgroup.JGroupMember
 351:             7            112  com.gemstone.gemfire.internal.concurrent.Semaphore5
 352:             2            112  sun.security.provider.SHA
 353:             1            112  java.lang.ref.Reference$ReferenceHandler
 354:             7            112  sun.nio.ch.OptionAdaptor
 355:             7            112  com.gemstone.org.jgroups.protocols.pbcast.Digest
 356:             1            104  [Lcom.gemstone.gemfire.cache.RegionShortcut;
 357:             1            104  com.gemstone.org.jgroups.stack.ProtocolStack
 358:             1             96  com.gemstone.gemfire.distributed.internal.locks.DLockService
 359:             1             96  com.gemstone.gemfire.internal.cache.control.InternalResourceManager
 360:             1             96  com.gemstone.gemfire.internal.cache.FilterProfile
 361:             2             96  java.lang.ThreadGroup
 362:             4             96  java.util.Stack
 363:             4             96  com.gemstone.gemfire.internal.SystemTimer
 364:             2             96  com.gemstone.gemfire.internal.cache.control.MemoryEventImpl
 365:             4             96  com.gemstone.gemfire.internal.util.concurrent.CopyOnWriteWeakHashMap
 366:             4             96  java.util.Random
 367:             4             96  java.util.Collections$UnmodifiableMap
 368:             4             96  java.io.FileOutputStream
 369:             6             96  [Lcom.gemstone.gemfire.cache.CacheListener;
 370:             4             96  java.util.concurrent.SynchronousQueue
 371:             1             96  com.gemstone.org.jgroups.protocols.VERIFY_SUSPECT
 372:             3             96  com.gemstone.gemfire.internal.licensing.ComponentType
 373:             2             96  com.gemstone.org.jgroups.oswego.concurrent.WriterPreferenceReadWriteLock
 374:             4             96  com.gemstone.org.jgroups.util.TimeScheduler$IntTask
 375:             6             96  java.util.HashMap$Values
 376:             1             96  com.gemstone.gemfire.internal.cache.BridgeServerAdvisor
 377:             1             96  com.gemstone.gemfire.internal.cache.BridgeServerImpl
 378:             3             96  com.gemstone.gemfire.internal.cache.control.InternalResourceManager$Thresholds
 379:             3             96  sun.misc.URLClassPath
 380:             6             96  java.util.regex.Pattern$CharPropertyNames$2
 381:             1             96  com.gemstone.gemfire.distributed.internal.locks.DLockGrantor
 382:             6             96  com.gemstone.gemfire.cache.EvictionAlgorithm
 383:             3             96  sun.reflect.generics.repository.ClassRepository
 384:             4             96  com.gemstone.gemfire.internal.cache.PartitionedRegionDataStore$CreateBucketResult
 385:             6             96  java.util.concurrent.atomic.AtomicReference
