
 num     #instances         #bytes  class name
 309:             7            112  com.gemstone.gemfire.cache.DataPolicy
 310:             7            112  sun.nio.ch.SocketOptsImpl$IP$TCP
 311:             2            112  java.io.ExpiringCache$1
 312:             1            112  java.lang.ref.Reference$ReferenceHandler
 313:             1            112  com.gemstone.gemfire.internal.sequencelog.SequenceLoggerImpl$ConsumerThread
 314:             7            112  [Ljava.net.NetworkInterface;
 315:             7            112  com.gemstone.gemfire.internal.concurrent.Semaphore5
 316:             1            112  java.lang.ref.Finalizer$FinalizerThread
 317:             7            112  java.util.TaskQueue
 318:             7            112  com.gemstone.gemfire.distributed.internal.membership.jgroup.JGroupMember
 319:             7            112  java.util.regex.Pattern$BranchConn
 320:             7            112  java.util.Timer$1
 321:             2            112  sun.security.provider.SHA
 322:             7            112  sun.nio.ch.OptionAdaptor
 323:             1            104  [Lcom.gemstone.gemfire.cache.RegionShortcut;
 324:             1            104  com.gemstone.org.jgroups.stack.ProtocolStack
 325:             1             96  com.gemstone.gemfire.internal.cache.BridgeServerAdvisor
 326:             1             96  com.gemstone.gemfire.internal.cache.control.InternalResourceManager
 327:             2             96  sun.nio.ch.SourceChannelImpl
 328:             4             96  java.util.Stack
 329:             2             96  java.lang.ThreadGroup
 330:             6             96  com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$KeySet
 331:             4             96  com.gemstone.gemfire.internal.cache.DistributedRegion$AdvisorListener
 332:             1             96  com.gemstone.gemfire.internal.cache.BridgeServerImpl
 333:             4             96  com.gemstone.gemfire.internal.SystemTimer
 334:             4             96  java.util.Random
 335:             6             96  com.gemstone.gemfire.cache.EvictionAlgorithm
 336:             3             96  com.gemstone.gemfire.internal.licensing.ComponentType
 337:             2             96  [Lsun.nio.ch.SelectionKeyImpl;
 338:             3             96  com.gemstone.gemfire.internal.cache.control.InternalResourceManager$Thresholds
 339:             6             96  java.util.regex.Pattern$CharPropertyNames$2
 340:             6             96  java.util.concurrent.atomic.AtomicReference
 341:             4             96  java.util.Collections$UnmodifiableMap
 342:             2             96  sun.nio.ch.SinkChannelImpl
 343:             6             96  [Lcom.gemstone.gemfire.cache.CacheListener;
 344:             1             96  com.gemstone.gemfire.internal.cache.FilterProfile
 345:             2             96  com.gemstone.org.jgroups.oswego.concurrent.WriterPreferenceReadWriteLock
 346:             4             96  com.gemstone.org.jgroups.util.TimeScheduler$IntTask
 347:             1             96  com.gemstone.gemfire.distributed.internal.locks.DLockService
 348:             1             96  com.gemstone.gemfire.distributed.internal.locks.DLockGrantor
 349:             1             96  com.gemstone.org.jgroups.protocols.VERIFY_SUSPECT
 350:             3             96  sun.reflect.generics.repository.ClassRepository
 351:             6             96  java.util.concurrent.atomic.AtomicBoolean
 352:             2             96  com.gemstone.gemfire.internal.cache.control.MemoryEventImpl
 353:             4             96  java.io.FileOutputStream
 354:             6             96  com.gemstone.org.jgroups.protocols.VIEW_SYNC$ViewSyncHeader
 355:             6             96  com.gemstone.gemfire.internal.concurrent.ReentrantLock5
 356:             4             96  com.gemstone.gemfire.internal.util.concurrent.CopyOnWriteWeakHashMap
 357:             3             96  sun.misc.URLClassPath
 358:             1             88  com.gemstone.gemfire.internal.cache.tier.sockets.CacheClientNotifier
 359:             1             88  [Lcom.gemstone.gemfire.internal.cache.tier.Version;
 360:             1             88  sun.security.provider.Sun
 361:             1             88  com.gemstone.gemfire.internal.tcp.TCPConduit
 362:             1             88  sun.security.jca.ProviderList$1
 363:             1             88  com.gemstone.gemfire.internal.JavaStatSampler
 364:             5             80  java.util.Hashtable$EntrySet
 365:             5             80  com.gemstone.java.util.concurrent.SynchronousQueueNoSpin$TransferStack
 366:             5             80  com.gemstone.gemfire.internal.util.concurrent.ReentrantSemaphore
 367:             5             80  java.util.concurrent.ConcurrentHashMap$KeySet
 368:             2             80  com.gemstone.gemfire.internal.tcp.Buffers$BBSoftReference
 369:             2             80  com.gemstone.gemfire.internal.cache.PRHARedundancyProvider
 370:             2             80  com.gemstone.gemfire.internal.tcp.ConnectionTable$IdleConnTT
 371:             5             80  java.util.HashMap$Values
 372:             2             80  com.gemstone.gemfire.internal.cache.DiskWriteAttributesImpl
 373:             2             80  java.net.SocketInputStream
 374:             2             80  java.util.IdentityHashMap
 375:             4             80  [Ljava.lang.reflect.Type;
 376:             5             80  java.util.HashMap$EntrySet
 377:             5             80  sun.nio.ch.SocketChannelImpl$1
 378:             1             80  java.util.concurrent.ScheduledThreadPoolExecutor
 379:             1             80  com.gemstone.gemfire.internal.cache.TXManagerImpl
 380:             1             80  com.gemstone.gemfire.internal.ManagerLogWriter
 381:             5             80  com.gemstone.org.jgroups.protocols.pbcast.Digest
 382:             2             80  sun.nio.ch.WindowsSelectorImpl$FdMap
 383:             1             80  [Ljava.nio.ByteBuffer;
 384:             5             80  java.util.Arrays$ArrayList
 385:             2             80  com.gemstone.gemfire.distributed.internal.membership.MemberAttributes
 386:             2             80  java.util.WeakHashMap$Entry
 387:             3             72  java.net.InetAddress$CacheEntry
 388:             3             72  java.util.concurrent.SynchronousQueue
 389:             3             72  java.net.Socket
 390:             3             72  java.security.BasicPermissionCollection
 391:             1             72  sun.misc.Launcher$AppClassLoader
 392:             3             72  com.gemstone.org.jgroups.util.List$Element
 393:             3             72  sun.reflect.generics.tree.ClassSignature
 394:             3             72  java.util.regex.Pattern$2
 395:             2             72  [[Ljava.lang.String;
 396:             1             72  sun.misc.Launcher$ExtClassLoader
 397:             1             72  com.gemstone.gemfire.internal.cache.CacheDistributionAdvisor$CacheProfile
 398:             1             72  com.gemstone.org.jgroups.protocols.AUTH
 399:             1             72  com.gemstone.gemfire.internal.cache.control.ResourceAdvisor
 400:             4             64  java.io.FilePermissionCollection
 401:             2             64  [Lcom.gemstone.gemfire.internal.sequencelog.GraphType;
 402:             4             64  java.util.regex.Pattern$BitClass
 403:             2             64  sun.nio.ch.ServerSocketAdaptor
 404:             2             64  java.net.DatagramSocket
 405:             4             64  com.gemstone.gemfire.internal.util.concurrent.StoppableReentrantReadWriteLock
 406:             4             64  com.gemstone.gemfire.internal.cache.persistence.PersistenceAdvisorImpl$ProfileChangeListener
 407:             4             64  com.gemstone.gemfire.internal.sequencelog.GraphType
 408:             1             64  com.gemstone.gemfire.distributed.internal.ThrottlingMemLinkedQueueWithDMStats
 409:             2             64  java.io.InvalidClassException
 410:             2             64  com.gemstone.gemfire.internal.cache.FilterProfile$IDMap
 411:             4             64  java.util.concurrent.CopyOnWriteArraySet
 412:             2             64  java.io.ExpiringCache
 413:             4             64  com.gemstone.gemfire.internal.cache.InMemoryPersistentMemberView
 414:             1             64  com.gemstone.gemfire.pdx.internal.PeerTypeRegistration
 415:             2             64  com.gemstone.gemfire.distributed.internal.locks.GrantorInfo
 416:             2             64  com.gemstone.gemfire.internal.cache.VMThinRegionEntry
 417:             2             64  java.util.concurrent.ThreadPoolExecutor$Worker
 418:             1             64  com.gemstone.org.jgroups.stack.GossipClient
 419:             4             64  [Ljava.security.Principal;
 420:             4             64  com.gemstone.gemfire.internal.cache.CachePerfStats
 421:             4             64  com.gemstone.gemfire.cache.Scope
 422:             4             64  com.gemstone.gemfire.internal.util.concurrent.StoppableReentrantReadWriteLock$StoppableReadLock
 423:             2             64  sun.management.GarbageCollectorImpl
 424:             4             64  com.gemstone.gemfire.cache.ExpirationAction
 425:             4             64  java.security.ProtectionDomain$Key
 426:             4             64  com.gemstone.gemfire.internal.util.concurrent.StoppableReentrantReadWriteLock$StoppableWriteLock
 427:             2             64  [Lsun.security.jca.ProviderConfig;
 428:             3             64  [Lsun.reflect.generics.tree.ClassTypeSignature;
